名称,价格（元/晚）,地址,特点,已购人数,评分,收藏,简评,评价
西安金莎国际酒店,420,"[小寨/历史博物馆]
长安中路65号


地图",休闲度假,14536,4.6?,1,棒极了,交通便利
西安君乐城堡酒店,533,"[钟鼓楼/回民街/市中心]
环城南路西段12号


地图",浪漫情侣,5164,4.4?,2,挺好哒,地理位置好
美豪丽致酒店(西安未央路店),328,"[大明宫万达/大明宫遗址公园]
未央路149号(凤城三路与未央路十字东北角)地铁2号线图书馆站A口


地图


街景",商务出行,1568,5.0?,3,棒极了,前台热情
维慕智能酒店(西安高铁北客站旗舰店),266,"[西安高铁站火车北站/西安市政中心]
凤城十一路与文景路十字向西50米


地图",亲子酒店,1711,4.7?,4,棒极了,离高铁站近
西安悦豪酒店,442,"[西安市高新技术开发区]
二环南路西段180号


地图


街景",浪漫情侣,2396,4.6?,5,棒极了,性价比高
秦唐一号酒店(西安钟楼店),348,"[钟鼓楼/回民街/市中心]
南大街东木头市176号


地图",亲子酒店,10342,4.7?,6,棒极了,离步行街近
如家精选酒店(西安钟楼店),256,"[钟鼓楼/回民街/市中心]
南大街8号(和西贝莜面村同一栋楼)


地图


街景",亲子酒店,426,4.7?,7,棒极了,在市中心
甲字精品酒店(西安钟楼回民街店),184,"[钟鼓楼/回民街/市中心]
案板街3号


地图


街景",商务出行,3263,4.5?,9,棒极了,性价比高
陕西世纪金源大饭店,378,"[新城区]
建工路19号


地图


街景",浪漫情侣,14579,4.9?,10,棒极了,服务周到
西安钟楼回民街亚朵酒店,487,"[钟鼓楼/回民街/市中心]
莲湖路23号


地图",浪漫情侣,2485,4.8?,11,棒极了,离地铁站近
美丽豪酒店(西安曲江大雁塔小寨会展中心店),449,"[电视塔/国展中心]
长安南路86A号长丰国际广场A座


地图


街景",亲子酒店,5960,4.9?,12,棒极了,服务周到
璞隐酒店(西安大雁塔店),289,"[大雁塔/曲江旅游区]
红专南路8号


地图",亲子酒店,4629,4.9?,13,棒极了,民俗特色
美豪酒店(西安龙首店),300,"[北关/龙首村]
龙首原十字北200米路西荣豪大厦(地铁2号线龙首原站A出口向北200米)


地图


街景",亲子酒店,4398,4.6?,14,棒极了,前台热情
喜客五间唐中式酒店(西安大雁塔博物馆小寨会展中心店)(原小寨大雁塔店),278,"[大雁塔/曲江旅游区]
翠华南路与红专南路丁字口西北角


地图


街景",亲子酒店,4501,4.8?,15,棒极了,前台热情
西安皇城豪门酒店,439,"[钟鼓楼/回民街/市中心]
东大街334号


地图


街景",休闲度假,9030,4.5?,16,棒极了,离夜市近
西安荣民国际饭店,308,"[钟鼓楼/回民街/市中心]
西大街126号


地图


街景",亲子酒店,7615,4.6?,17,棒极了,离美食街近
丽途精选酒店(西安大雁塔曲江店),288,"[大雁塔/曲江旅游区]
西影路63号


地图


街景",休闲度假,4836,4.6?,18,棒极了,性价比高
